user_id,gender,age,salary,family_members,insurance_appeal
1,true,41,49600,1,0
2,false,46,38000,1,1
3,false,29,21000,0,0
4,false,21,41700,2,0
5,true,28,26100,0,0
6,true,43,41000,2,1
7,true,39,39700,2,0
8,true,25,38600,4,0
9,true,36,49700,1,0
10,true,32,51700,1,0
11,true,25,36600,1,0
12,true,38,29300,0,0
13,false,23,39500,3,0
14,false,21,55000,0,0
15,false,40,43700,1,0
16,true,34,23300,0,0
17,true,26,48900,2,0
18,true,41,33200,2,0
19,true,42,49700,0,1
20,true,27,36900,0,0
21,true,38,43500,1,0
22,true,36,36100,1,0
23,false,41,26600,0,0
24,false,33,48700,2,0
25,false,21,40400,3,0
26,true,47,38400,3,1
27,true,25,34600,1,0
28,true,30,34800,1,0
29,true,19,36800,0,0
30,false,21,42200,2,0
31,false,25,46300,0,0
32,true,40,30300,0,0
33,true,30,51000,2,0
34,false,31,28100,0,0
35,false,19,64800,2,0
36,true,27,30400,0,0
37,true,22,45300,2,0
38,false,27,38300,0,0
39,true,31,49500,1,0
40,true,33,19400,1,0
41,true,42,40200,0,1
42,true,39,31700,1,0
43,true,42,69200,0,1
44,false,20,33100,1,0
45,false,30,31600,2,0
46,false,24,30400,1,0
47,false,26,34500,1,0
48,false,42,38700,1,1
49,true,25,33100,1,0
50,false,28,36600,1,0
51,true,28,39600,0,0
52,false,30,38600,2,0
53,true,29,42400,0,0
54,true,34,34600,0,0
55,true,42,28100,2,0
56,false,46,34900,1,1
57,false,19,30500,0,0
58,false,31,48900,0,0
59,true,20,24200,3,0
60,true,30,49900,1,0
61,false,28,14300,1,0
62,false,38,47000,1,0
63,true,23,44800,1,0
64,false,32,43800,1,0
65,false,27,42700,3,0
66,true,18,35400,2,0
67,true,43,57200,4,1
68,true,37,29600,2,0
69,true,20,37400,2,0
70,true,39,48100,1,0
71,true,42,33700,1,1
72,false,40,61800,1,0
73,false,40,39400,1,0
74,true,32,15600,2,0
75,true,24,47000,3,0
76,false,48,49500,0,1
77,false,37,52600,0,0
78,true,40,37600,2,0
79,false,43,34900,0,1
80,true,29,52500,3,0
81,true,41,32700,0,0
82,true,29,51600,1,0
83,false,31,37400,2,0
84,true,37,60900,2,0
85,false,26,41800,1,0
86,false,25,47400,2,0
87,false,45,26500,2,1
88,false,28,45900,0,0
89,true,24,33100,1,0
90,false,44,45300,0,1
91,true,23,35700,2,0
92,true,36,34300,2,0
93,true,25,26700,1,0
94,true,20,25700,4,0
95,false,32,33300,0,0
96,true,52,31100,0,2
97,false,23,43700,0,0
98,true,23,31500,1,0
99,true,38,33100,1,0
100,false,37,42100,2,0
101,false,19,37300,1,0
102,false,49,42500,1,2
103,true,43,27300,0,1
104,false,27,46800,2,0
105,false,24,33500,1,0
106,true,35,44300,0,0
107,true,45,41600,2,1
108,true,24,53900,2,0
109,true,39,40100,2,0
110,true,20,44600,1,0
111,true,39,36600,1,0
112,false,30,45900,2,0
113,true,25,45000,1,0
114,false,25,32000,0,0
115,false,40,38200,3,0
116,true,23,33000,1,0
117,true,28,38500,0,0
118,true,52,32000,0,2
119,true,27,51800,0,0
120,false,22,33800,1,0
121,true,24,46400,2,0
122,true,19,43200,1,0
123,false,40,31800,3,0
124,true,27,38000,5,0
125,true,43,50200,1,1
126,true,40,35100,1,0
127,false,35,30700,1,0
128,false,28,30300,0,0
129,false,20,39400,1,0
130,false,33,45800,1,0
131,false,21,49300,0,0
132,false,23,42800,2,0
133,true,33,33600,3,0
134,true,40,50300,1,0
135,true,41,34000,1,0
136,false,19,40200,0,0
137,false,36,41700,1,0
138,true,38,36400,0,0
139,true,25,44900,0,0
140,false,18,39500,0,0
141,false,30,43600,1,0
142,true,21,34900,2,0
143,false,22,38000,2,0
144,false,40,54600,1,0
145,false,25,52800,2,0
146,true,41,33200,3,0
147,false,24,25700,1,0
148,true,27,29700,3,0
149,false,28,39000,1,0
150,false,20,44100,1,0
151,true,21,31900,1,0
152,true,19,29300,0,0
153,false,26,37700,3,0
154,false,20,35200,1,0
155,false,36,43100,0,0
156,true,28,51300,0,0
157,true,21,47500,2,0
158,true,22,40800,0,0
159,false,26,26800,2,0
160,true,19,64900,2,0
161,false,32,35900,3,0
162,false,41,31200,2,0
163,false,32,39900,2,0
164,false,31,43200,3,0
165,true,22,43300,1,0
166,true,33,35400,2,0
167,true,33,33900,2,0
168,true,35,44900,2,0
169,false,30,37300,0,0
170,true,38,40700,1,0
171,true,37,54600,1,0
172,false,32,33600,0,0
173,true,22,44700,2,0
174,true,31,53400,0,0
175,true,33,52500,0,0
176,false,33,30600,2,0
177,true,41,48900,0,0
178,true,56,56000,0,3
179,true,35,37300,1,0
180,false,27,35600,1,0
181,false,19,55200,1,0
182,false,45,40600,0,1
183,true,25,46400,1,0
184,false,18,48300,2,0
185,false,23,39900,2,0
186,true,37,26700,1,0
187,false,22,50800,0,0
188,true,31,43600,0,0
189,false,29,37400,3,0
190,false,39,41200,0,0
191,true,18,44200,1,0
192,true,38,44400,0,0
193,false,21,37600,1,0
194,false,23,43600,0,0
195,true,34,36600,1,0
196,false,31,40500,2,0
197,false,18,39800,4,0
198,false,45,16600,2,1
199,false,27,48400,2,0
200,true,21,25100,0,0
201,true,36,23100,1,0
202,false,22,32100,0,0
203,false,24,31000,2,0
204,true,31,42900,1,0
205,false,26,46700,0,0
206,false,25,45000,0,0
207,true,36,26000,1,0
208,false,34,55900,2,0
209,true,40,52000,3,0
210,false,22,40100,1,0
211,true,25,41500,1,0
212,false,33,39900,1,0
213,true,29,49400,0,0
214,true,43,60300,0,1
215,false,32,55000,2,0
216,true,25,48700,3,0
217,false,32,42200,1,0
218,true,29,45600,1,0
219,false,29,38500,0,0
220,false,29,49900,2,0
221,false,29,33700,2,0
222,false,44,35100,2,1
223,false,45,49000,0,1
224,true,34,37500,1,0
225,false,29,21900,0,0
226,false,36,45100,1,0
227,true,23,47900,0,0
228,false,28,54300,1,0
229,true,65,39700,1,5
230,true,33,32400,2,0
231,false,35,30700,0,0
232,false,35,41300,2,0
233,false,24,44500,1,0
234,false,20,23200,1,0
235,false,49,27300,0,2
236,false,55,35900,1,3
237,false,36,37900,0,0
238,false,28,48000,2,0
239,true,32,52800,1,0
240,true,26,44200,0,0
241,true,31,41500,0,0
242,true,27,32400,1,0
243,false,27,36800,2,0
244,false,19,36900,1,0
245,false,29,47000,5,0
246,true,25,52100,2,0
247,true,27,39500,1,0
248,true,41,33800,1,0
249,false,31,49400,1,0
250,true,40,45300,5,0
251,false,26,44700,2,0
252,true,23,45700,1,0
253,true,33,26500,1,0
254,true,19,47000,1,0
255,false,32,29900,1,0
256,false,23,42800,0,0
257,false,57,28100,2,3
258,false,37,52500,3,0
259,false,33,42600,0,0
260,false,29,38400,2,0
261,true,42,46700,0,1
262,true,29,45200,1,0
263,true,34,46800,2,0
264,false,43,36000,1,1
265,true,46,46500,1,1
266,false,39,23800,1,0
267,true,38,30200,0,0
268,false,36,40200,0,0
269,false,20,50200,3,0
270,true,34,24400,1,0
271,true,36,39600,0,0
272,false,25,44500,1,0
273,false,38,32800,1,0
274,true,39,29000,3,0
275,false,25,43400,0,0
276,false,35,48700,1,0
277,true,35,51500,1,0
278,true,32,43200,0,0
279,true,34,39900,1,0
280,false,23,34600,3,0
281,true,32,36000,0,0
282,true,39,48100,1,0
283,true,21,61700,0,0
284,true,37,45400,0,0
